"county","state","women","median_income","democrat_2008","dist_to_closest_facility_miles","abortion_count_2010","highly_restrictive"
"missaukee","michigan",7347,42077,0.386812600106781,37.3686688274071,20,1
"monroe","michigan",76004,56968,0.512679594881055,14.9635482889363,187,1
"montcalm","michigan",30482,43126,0.488262910798122,33.1026255200163,63,1
"montmorency","michigan",4579,37145,0.448320895522388,74.0868407792022,7,1
"muskegon","michigan",86628,43920,0.638665733170367,34.0931190612338,156,1
"newaygo","michigan",23814,44049,0.466998485176369,35.5869454125868,33,1
"oakland","michigan",634613,69850,0.565292200501314,3.31951529166714,2660,1
"oceana","michigan",12918,41952,0.512031337437045,56.4630491488397,8,1
"ogemaw","michigan",10541,36941,0.500650074294205,57.4004412237392,25,1
"ontonagon","michigan",3005,35038,0.506048906048906,133.655099226831,0,1
"osceola","michigan",11480,39247,0.440322873208779,56.0663627223249,19,1
"oscoda","michigan",4062,35175,0.435998151571165,71.3292323502546,6,1
"otsego","michigan",12274,50793,0.446575776791376,48.6129416875345,25,1
"ottawa","michigan",140297,61367,0.373000264185282,18.630154663234,199,1
"presqueisle","michigan",6496,41570,0.495936042638241,93.7656918799136,10,1
"roscommon","michigan",12042,35959,0.504021066116291,53.9457999723476,36,1
"saginaw","michigan",100517,43712,0.579075799788644,4.52303028400167,475,1
"stclair","michigan",80666,50930,0.502805933250927,33.6498000928118,270,1
"stjoseph","michigan",30647,45410,0.479417944128862,27.4713955056539,82,1
"sanilac","michigan",21024,42037,0.448559670781893,53.8220309256375,37,1
"schoolcraft","michigan",4139,36649,0.504854368932039,91.4153048846044,2,1
"shiawassee","michigan",34878,48470,0.532665110531374,21.3999319768738,78,1
"tuscola","michigan",26891,44193,0.485754370818044,27.4007931450383,77,1
"vanburen","michigan",37855,47141,0.53466030029339,18.9531180826682,133,1
"washtenaw","michigan",180980,62484,0.69784891644176,1.5108816725202,1054,1
"wayne","michigan",917679,42043,0.741396971446414,5.79882020444761,8383,1
"wexford","michigan",16396,40417,0.469880285277636,31.5979847367885,31,1
"aitkin","minnesota",7706,44524,0.488310308182784,69.4125954714564,17,0
"anoka","minnesota",170487,73579,0.477302660461849,12.943800933747,758,0
"beltrami","minnesota",22871,45201,0.540519877675841,141.492145036134,52,0
"benton","minnesota",19721,51841,0.437147732561146,57.6105188853561,52,0
"blueearth","minnesota",32545,52119,0.551040775591674,67.7762952194348,133,0
"brown","minnesota",12764,53319,0.426505139500734,80.6401625797537,22,0
"carlton","minnesota",16991,55607,0.623394221909047,23.0761477475324,32,0
"carver","minnesota",48934,88638,0.415715637139464,21.4619581839548,111,0
"cass","minnesota",14045,47926,0.446188753296131,109.915198164197,28,0
"chippewa","minnesota",6120,54041,0.516047828823159,112.992810320573,6,0
"chisago","minnesota",26121,72908,0.436205425695274,36.0484905830371,63,0
"clay","minnesota",31091,59614,0.569602515465327,205.983368454532,6,0
"cook","minnesota",2609,51793,0.603046594982079,107.613046142763,8,0
"crowwing","minnesota",31675,50893,0.45098819849282,101.125248394167,78,0
"dakota","minnesota",209214,77321,0.517926837922225,13.6396026664066,844,0
"dodge","minnesota",10163,68718,0.436992068931754,67.0240286886037,19,0
"douglas","minnesota",18474,56347,0.442489721770724,118.439040595343,16,0
"faribault","minnesota",7059,49101,0.45829244357213,94.7555013994942,9,0
"fillmore","minnesota",10407,54358,0.52706070856329,83.187434131988,14,0
"freeborn","minnesota",15401,48827,0.573784722222222,89.656312145662,35,0
"goodhue","minnesota",23270,60452,0.481488660593138,43.7408854033631,60,0
"hennepin","minnesota",613022,67989,0.634183012443882,3.32288532301693,3989,0
"houston","minnesota",9401,55550,0.542681245979969,97.052867066314,12,0
"isanti","minnesota",19030,62733,0.411310028424675,36.9564706334841,41,0
"itasca","minnesota",22450,49507,0.551752408280385,76.3956015226664,39,0
"jackson","minnesota",5033,55114,0.465587764538503,85.6328329758582,6,0
"kanabec","minnesota",7856,48042,0.440404753500412,60.4867085448759,13,0
"kandiyohi","minnesota",21198,53514,0.462434345741037,83.8006642373425,43,0
"koochiching","minnesota",6469,44929,0.536459864745663,135.409215994192,15,0
"lake","minnesota",5240,52320,0.598938154685034,37.2731998862479,10,0
"lesueur","minnesota",13645,62462,0.465987074422013,44.9695076268451,12,0
"lyon","minnesota",12830,51920,0.480799496380233,80.7487222663558,25,0
"mcleod","minnesota",18119,57738,0.394398024068527,47.6802444827634,34,0
"martin","minnesota",10204,51984,0.410358936209782,108.633523159769,14,0
"meeker","minnesota",11360,58574,0.428856117975289,57.7566385875894,20,0
"millelacs","minnesota",12844,51232,0.448316597755464,56.1633421446183,36,0
"morrison","minnesota",16233,51456,0.391029086782536,83.2339567261137,25,0
"mower","minnesota",19559,51778,0.604836608120081,82.8344515850442,50,0
"nicollet","minnesota",16640,61501,0.541901890929022,61.9429152857984,37,0
"nobles","minnesota",10599,53269,0.481561329853625,57.7800312724229,12,0
"olmsted","minnesota",76590,69308,0.506224663266641,73.790391075903,243,0
"ottertail","minnesota",28700,53351,0.423899409551198,153.762300319544,10,0
"pine","minnesota",13519,45379,0.492525898630327,64.4550494911853,34,0
"ramsey","minnesota",272795,57717,0.659636751674562,4.61807396663479,1693,0
"redwood","minnesota",7748,48891,0.416346400204971,100.570813681853,14,0
"renville","minnesota",7392,54824,0.479901659496005,82.0971054963729,9,0
"rice","minnesota",31984,61683,0.546589515393566,40.6437789604951,85,0
"stlouis","minnesota",99651,49395,0.651025973370142,22.8649913596517,311,0
"scott","minnesota",69962,90198,0.435083119823631,19.7069848653253,216,0
"sherburne","minnesota",44578,78081,0.399133140697933,33.6641185426785,105,0
"sibley","minnesota",7402,59596,0.387889765817053,51.2734092597895,11,0
"stearns","minnesota",76306,56977,0.453171821829448,63.4234994341201,226,0
"steele","minnesota",18468,58141,0.458689458689459,61.8406100432423,42,0
"swift","minnesota",4708,49956,0.554347826086957,115.23442326369,7,0
"wabasha","minnesota",10700,58865,0.474733036239805,66.1854513558562,28,0
"waseca","minnesota",10038,53199,0.445084951456311,63.6004268097115,22,0
"washington","minnesota",125652,86689,0.512749983583712,13.2936741493954,447,0
"watonwan","minnesota",5582,50068,0.487257512362115,93.2679462487714,9,0
"winona","minnesota",25907,52840,0.583783783783784,97.5095179039231,45,0
"wright","minnesota",64550,75705,0.401704840037818,28.2133642329306,136,0
"yellowmedicine","minnesota",4923,54717,0.505656311725624,97.4942129596534,8,0
"adams","mississippi",15846,31283,0.574732415902141,77.486187595222,41,1
"alcorn","mississippi",18955,38892,0.274985018975964,78.5358217227465,32,1
"amite","mississippi",6390,27334,0.439024390243902,53.402494321496,3,1
"attala","mississippi",10089,33018,0.420104780615586,61.0190745451931,32,1
"benton","mississippi",4219,36302,0.48349978289188,45.3381919063288,8,1
"bolivar","mississippi",17842,27457,0.674015131750587,103.584255733305,112,1
"calhoun","mississippi",7706,31141,0.359720439309656,90.775179307934,14,1
"carroll","mississippi",5072,40278,0.342065491183879,78.8860878670066,18,1
"chickasaw","mississippi",8920,31048,0.508647450110865,94.6148236091205,36,1
"choctaw","mississippi",4283,32953,0.355420219244823,88.398218203096,6,1
"claiborne","mississippi",4900,25000,0.859240227564691,53.2116340843755,24,1
"clarke","mississippi",8587,36441,0.372790253225036,86.7742587989072,17,1
"clay","mississippi",10804,33142,0.593162083936324,72.7438670874411,28,1
"coahoma","mississippi",13328,28217,0.720026537768932,70.4878806924388,80,1
"copiah","mississippi",14960,34738,0.533047566371681,32.8755487963796,54,1
"covington","mississippi",10204,31684,0.408787010506208,60.5540619914949,18,1
"desoto","mississippi",88127,60111,0.306150462493566,14.486563191592,433,1
"forrest","mississippi",39942,37017,0.429125281541927,80.7404482789297,151,1
"franklin","mississippi",4007,40081,0.371330619241483,72.0805944130059,3,1
"george","mississippi",11577,47313,0.165015079707023,29.9198111242237,8,1
"greene","mississippi",5751,40069,0.236906000693722,45.7766450560271,4,1
"grenada","mississippi",11237,33026,0.444886765746638,95.0790924270752,53,1
"hancock","mississippi",23624,46542,0.221555829952373,51.6008553401611,9,1
"harrison","mississippi",100455,43095,0.367566954153427,57.3045995227494,146,1
"hinds","mississippi",130358,38773,0.69390403268852,5.0769963667615,1012,1
"holmes","mississippi",9717,20800,0.815394308516224,52.7871059698826,81,1
"humphreys","mississippi",4645,23442,0.710598357450137,60.3727769627382,17,1
"issaquena","mississippi",521,24306,0.612050739957717,60.7334402850937,2,1
"itawamba","mississippi",11868,35380,0.21191783607891,89.3932981886009,15,1
"jackson","mississippi",71641,49158,0.328894068031741,34.6395792296072,156,1
"jasper","mississippi",8500,34993,0.546968542505715,65.6046792723228,18,1
"jefferson","mississippi",3796,23773,0.868680089485459,66.9708363900903,25,1
"jeffersondavis","mississippi",6066,26429,0.605986394557823,56.5035004357686,20,1
"jones","mississippi",35106,37846,0.303350365213813,75.057321070889,62,1
"kemper","mississippi",5197,29925,0.625071990785179,73.7856593906151,20,1
"lafayette","mississippi",26816,43162,0.434714068275712,58.4826023977698,113,1
"lamar","mississippi",30937,53888,0.216710073090817,85.5895821191166,65,1
"lauderdale","mississippi",40803,38399,0.403523109052937,86.9617172397627,146,1
"lawrence","mississippi",6427,38155,0.370683479008454,53.8354608015992,12,1
"leake","mississippi",11519,32657,0.444908896034298,47.5870320800465,39,1
"lee","mississippi",44470,43224,0.345024540053385,90.6181563186535,163,1
"leflore","mississippi",16377,25356,0.681446372601483,81.2328052599814,123,1
"lincoln","mississippi",18085,36250,0.33663547972849,56.4395219347841,50,1
"lowndes","mississippi",31224,41219,0.482309124767225,53.8874260860246,135,1
"madison","mississippi",53110,65924,0.420353138181741,12.9726924154633,258,1
"marion","mississippi",13256,30914,0.340704214500347,77.839015756655,17,1
"marshall","mississippi",18387,40598,0.588932806324111,30.4427582484495,126,1
"monroe","mississippi",18845,37345,0.41149121800023,74.0928068075985,54,1
"montgomery","mississippi",5437,31207,0.457799613967363,85.0624169885887,20,1
"neshoba","mississippi",15343,35991,0.27431289640592,68.244563477321,24,1
"newton","mississippi",11468,35527,0.330559835644581,61.5573700996453,19,1
"noxubee","mississippi",5842,31472,0.764437689969605,59.4017009610092,38,1
"oktibbeha","mississippi",24545,33431,0.496275010642827,76.7697056496264,116,1
"panola","mississippi",17740,37556,0.529393847091075,54.48551977345,95,1
"pearlriver","mississippi",27857,41598,0.193496371943026,56.0751858353031,8,1
"perry","mississippi",6249,34774,0.271808510638298,64.6241528927573,7,1
"pike","mississippi",21014,31511,0.515562472209871,66.2086436338517,48,1
"pontotoc","mississippi",15469,39869,0.233132671409585,79.6973868195566,28,1
"prentiss","mississippi",12984,33509,0.27975914775359,83.7948674989026,20,1
"quitman","mississippi",3964,24835,0.674608904933815,61.2871645615889,30,1
"rankin","mississippi",76502,59370,0.228631424889836,9.23568627301756,224,1
"scott","mississippi",14561,32615,0.431663946396358,38.1510844153483,40,1
"sharkey","mississippi",2514,28878,0.683512544802867,56.9031308332966,5,1
"simpson","mississippi",13970,37285,0.383977680350737,34.5056214397107,34,1
"smith","mississippi",8404,33696,0.237767306995288,46.5437898428327,16,1
"stone","mississippi",8798,44995,0.277530589543938,59.7756244833469,8,1
"sunflower","mississippi",13074,27126,0.70258157045536,89.9630495291214,61,1
"tallahatchie","mississippi",6050,29837,0.592951032789253,80.3034980795336,29,1
"tate","mississippi",14492,43883,0.392977770795696,34.0738122165845,82,1
"tippah","mississippi",11242,37109,0.272406272717832,60.5846222477854,28,1
"tishomingo","mississippi",10042,35364,0.236613603473227,90.5863416875572,15,1
"tunica","mississippi",5598,31918,0.758501040943789,34.9386859034837,56,1
"union","mississippi",14317,37898,0.246510859691139,68.0211787390197,24,1
"walthall","mississippi",7559,30571,0.445993031358885,75.9023156780709,8,1
"warren","mississippi",25109,40475,0.483163664839467,39.1107770797342,89,1
"washington","mississippi",25904,28452,0.672360010227563,86.3451625162744,132,1
"wayne","mississippi",10646,34458,0.389155662264906,73.818333380692,26,1
"webster","mississippi",5050,37083,0.248023533737819,101.174384826965,11,1
"wilkinson","mississippi",4345,25846,0.689964857477548,47.389548697789,6,1
"winston","mississippi",9473,32820,0.456624141315015,83.8898804710157,5,1
"yalobusha","mississippi",6443,34749,0.46331421849728,74.8037144121399,11,1
"yazoo","mississippi",12422,27560,0.534055186866923,36.0432646608916,62,1
"adair","missouri",13509,37967,0.483110100244293,86.3023857669671,20,1
"andrew","missouri",8773,54804,0.380546075085324,62.170185496243,10,1
"atchison","missouri",2724,43438,0.336021505376344,55.1553966033988,1,1
"audrain","missouri",14158,41930,0.411279102124107,32.3835271969944,20,1
"barry","missouri",17758,37869,0.316170445233543,44.8586389498377,3,1
"barton","missouri",6084,38877,0.244620040349697,95.5261319937464,4,1
"bates","missouri",8416,41520,0.39490522757455,47.5497783019819,19,1
"benton","missouri",9489,33428,0.379324762203408,69.5271040696108,12,1
"bollinger","missouri",6101,39493,0.292185338865837,90.6885778883651,4,1
"boone","missouri",89033,50813,0.552040445273369,0.683553076031592,363,1
"buchanan","missouri",44431,46680,0.490881147540984,50.6878053628522,120,1
"butler","missouri",22157,36302,0.306609758911062,113.488406201891,14,1
"caldwell","missouri",4447,44722,0.397458369851008,53.0126036812101,9,1
"callaway","missouri",21852,50362,0.392319238134672,21.3374215908988,46,1
"camden","missouri",22257,46747,0.351195048118195,65.1702277144932,32,1
"capegirardeau","missouri",40259,48458,0.326810333288716,95.3418107533342,71,1
"carroll","missouri",4643,41537,0.338254737769943,63.1945184276559,5,1
"carter","missouri",3251,37162,0.339544513457557,121.597028946636,1,1
"cass","missouri",51572,63613,0.39546423802786,17.1370008787942,169,1
"cedar","missouri",6992,33720,0.324205225055083,89.7667445451624,7,1
"chariton","missouri",3846,41773,0.426910299003322,48.5926104863985,3,1
"christian","missouri",42161,54392,0.315224023131814,78.636848730844,68,1
"clark","missouri",3392,45169,0.454861111111111,85.7851883281507,4,1
"clay","missouri",118898,63702,0.490493221174023,15.1013916106873,532,1
"clinton","missouri",10208,57486,0.434761813659843,40.182762490896,14,1
"cole","missouri",37872,54130,0.360278745644599,28.7693115739377,117,1
"cooper","missouri",8347,44917,0.373286817842013,23.86897654361,22,1
"crawford","missouri",12447,36983,0.387803668815072,70.3494667255027,4,1
"dade","missouri",3719,37904,0.287937743190661,90.8806090815716,1,1
"dallas","missouri",8299,37695,0.345698294936874,99.1055405078221,4,1
"daviess","missouri",4085,43669,0.369783412572636,69.7247274360342,5,1
"dekalb","missouri",4690,43538,0.361306854580397,55.1107809315586,10,1
"dent","missouri",7814,38020,0.299359347699476,98.6656883894422,10,1
"douglas","missouri",6718,31333,0.318831942789035,102.295911247759,4,1
"dunklin","missouri",16228,31220,0.385923155389323,81.2219470887848,22,1
"franklin","missouri",51233,50895,0.431217414237316,42.7315692030655,102,1
"gasconade","missouri",7486,45505,0.373053661047484,57.3727350018633,4,1
"gentry","missouri",3503,44024,0.375151883353584,80.2444109091455,2,1
"greene","missouri",146296,41908,0.414024098161318,86.767183697817,309,1
"grundy","missouri",5281,40187,0.333333333333333,89.3342875087021,8,1
"harrison","missouri",4344,41173,0.328735632183908,86.2366072541594,6,1
"henry","missouri",11083,42707,0.436329420198943,61.1298128859527,18,1
"hickory","missouri",4744,33113,0.424437927663734,90.2982861186764,6,1
"holt","missouri",2263,41017,0.304595518420053,79.8348263710539,3,1
"howard","missouri",5073,45762,0.419361483007209,23.5213765375928,15,1
"howell","missouri",20648,33964,0.336837160138587,133.433118046034,19,1
"iron","missouri",5149,36354,0.501359311282284,77.5815612394405,4,1
"jackson","missouri",352981,48104,0.487629469972641,7.2008162856107,2209,1
"jasper","missouri",60202,42648,0.327537740760021,71.9822526395786,57,1
"jefferson","missouri",111853,58232,0.505818133656248,23.7026756441764,251,1
"johnson","missouri",26277,48977,0.429347826086957,47.5462740400536,62,1
"knox","missouri",1972,38816,0.375,82.8255793401807,5,1
"laclede","missouri",17897,40436,0.319671628989769,90.6552323362476,21,1
"lafayette","missouri",16668,50830,0.415783132530121,39.4826053428937,43,1
"lawrence","missouri",19125,40505,0.306365330287912,65.7207700524285,8,1
"lewis","missouri",5052,45708,0.408040870724123,85.8709028633925,3,1
"lincoln","missouri",27108,55249,0.434564755838641,44.260749395545,42,1
"linn","missouri",6419,39286,0.444781655707301,69.768121928758,8,1
"livingston","missouri",8284,44266,0.371642246642247,75.3952123887991,9,1
"mcdonald","missouri",11150,38846,0.301659496004917,37.8058867931782,1,1
"macon","missouri",7804,37099,0.372491303184373,58.6419146110066,10,1
"madison","missouri",6316,36359,0.40612569610183,76.0131537357274,6,1
"maries","missouri",4534,40542,0.351583113456464,59.6791428187261,0,1
"marion","missouri",14944,43828,0.374651477734406,71.5471521166642,5,1
"mercer","missouri",1846,41817,0.296910755148741,76.4465091948095,1,1
"miller","missouri",12657,40057,0.308019072388383,49.9743938550051,29,1
"mississippi","missouri",6544,29214,0.419529499626587,120.710494644986,7,1
"moniteau","missouri",7545,48974,0.312678169542386,27.4233453881976,11,1
"monroe","missouri",4309,41201,0.394761242466388,43.2585674353023,6,1
"montgomery","missouri",5935,41096,0.400785519125683,46.6331190465235,7,1
"morgan","missouri",10046,32807,0.389660072139032,48.6677329251086,11,1
"newmadrid","missouri",9471,31615,0.41646070192783,100.610277143908,12,1
"newton","missouri",29450,44474,0.293237817838306,57.7394484550107,12,1
"nodaway","missouri",11627,39908,0.43967120070457,76.7781484093118,17,1
"oregon","missouri",5538,30442,0.39446743628839,130.236888232313,1,1
"osage","missouri",6551,54119,0.269388331685266,42.5581771268076,5,1
"ozark","missouri",4711,31087,0.354460093896714,100.707076620905,1,1
"pemiscot","missouri",9281,31671,0.429828295728679,71.0216189726298,22,1
"perry","missouri",9671,53014,0.347519370880074,67.2933877589769,9,1
"pettis","missouri",21489,40467,0.380711775043937,52.3277464906529,40,1
"phelps","missouri",21429,41603,0.38038892890215,76.9791020686124,30,1
"pike","missouri",8226,42779,0.44245654104809,69.1332489353602,13,1
"platte","missouri",48172,70879,0.461682444061962,16.3441811326598,70,1
"polk","missouri",15888,42483,0.332408556618238,109.691362959897,13,1
"pulaski","missouri",22964,49216,0.349933333333333,78.7669377129219,74,1
"putnam","missouri",2429,38125,0.29713552800342,79.1273530615903,1,1
"ralls","missouri",5034,48919,0.401455546813533,63.1174407200425,1,1
"randolph","missouri",11926,40638,0.375,31.9078397085995,16,1
"ray","missouri",11581,53459,0.474169908622094,34.1888874216412,24,1
"reynolds","missouri",3156,36736,0.431396410100395,97.893020425032,4,1
"ripley","missouri",7039,34145,0.334700727204923,111.34671425869,5,1
"stcharles","missouri",193094,75603,0.446525468230352,23.8809254288662,531,1
"stclair","missouri",4694,33750,0.378107457898957,76.633944641861,0,1
"stfrancois","missouri",30554,41461,0.470061099796334,56.7825105983859,41,1
"saline","missouri",11627,40645,0.478472786352559,48.0082029200107,10,1
"schuyler","missouri",2241,37583,0.390821986888553,92.6222030473833,4,1
"scotland","missouri",2505,41336,0.377979027645377,88.7704793789929,1,1
"scott","missouri",20051,40276,0.347165205813824,117.89750616752,8,1
"shannon","missouri",4200,32284,0.426524231370505,125.748951126995,1,1
"shelby","missouri",3083,41351,0.335946924004825,57.0311905744852,0,1
"stoddard","missouri",15279,38096,0.293997888704569,116.849640441226,19,1
"stone","missouri",15900,41944,0.306889607615793,56.0897382762809,9,1
"sullivan","missouri",3161,42639,0.408853258975253,93.9780784074999,2,1
"taney","missouri",27634,38040,0.3084841211226,63.7244309718557,27,1
"texas","missouri",12489,35730,0.314256750529905,114.247717036892,11,1
"vernon","missouri",10627,40655,0.380829015544041,77.2504754547867,13,1
"warren","missouri",16513,51509,0.430469953775038,47.0207175278129,29,1
"washington","missouri",12167,36701,0.490014562096942,55.3012812908462,16,1
"wayne","missouri",6701,33954,0.364478388040299,106.472234559233,4,1
"webster","missouri",18192,44814,0.347578870139398,103.734902002777,18,1
"worth","missouri",1077,44974,0.363713798977853,84.3031639437343,0,1
"wright","missouri",9375,30581,0.300328870096312,119.569913829963,8,1
"stlouiscity","missouri",163264,36809,0.836753578667741,0.954143309842583,1180,1
"adams","nebraska",15529,51201,0.354655563966692,93.7606794806282,0,0
"antelope","nebraska",3204,46381,0.237676609105181,113.643530384849,0,0
"arthur","nebraska",227,40375,0.14828897338403,191.437020880096,0,0
"banner","nebraska",425,50833,0.149038461538462,99.4953896089406,0,0
"blaine","nebraska",272,50350,0.136075949367089,189.974502355824,0,0
"boone","nebraska",2660,51890,0.26163610719323,93.0567521832094,0,0
"boxbutte","nebraska",5538,54444,0.378790921871862,156.782215338987,0,0
"boyd","nebraska",982,42463,0.225225225225225,106.289351095204,0,0
"brown","nebraska",1583,37328,0.198468410976388,168.307557399006,0,0
"buffalo","nebraska",24214,54098,0.304099932618048,126.852053157177,0,0
"burt","nebraska",3353,47137,0.41718334809566,41.3063727654627,0,0
"butler","nebraska",4079,51166,0.309976556394895,39.6848437961424,0,0
"cass","nebraska",12703,65385,0.39209701369411,15.4621217540141,0,0
"cedar","nebraska",4261,54391,0.285098227120268,68.6458385596758,0,0
"chase","nebraska",2078,53496,0.184924078091106,178.669130075238,0,0
"cherry","nebraska",2937,53059,0.195815626021576,205.817317825283,0,0
"cheyenne","nebraska",5134,54215,0.24240545567266,117.9869009509,0,0
"clay","nebraska",3089,51613,0.257171117705242,74.5192572830532,0,0
"colfax","nebraska",5050,52712,0.351233218857321,53.7014841141783,0,0
"cuming","nebraska",4477,49181,0.311720088084169,55.6886242434847,0,0
"custer","nebraska",5453,47083,0.213696665471495,162.805899987021,0,0
"dakota","nebraska",10625,52336,0.468105065666041,76.0779246185679,0,0
"dawes","nebraska",4606,42685,0.340397350993377,185.170464402171,0,0
"dawson","nebraska",11802,49943,0.300400701227148,168.023425518969,0,0
"deuel","nebraska",988,51786,0.244712990936556,148.457855390348,0,0
"dixon","nebraska",2888,52813,0.338582677165354,74.3002391594471,0,0
"dodge","nebraska",18710,49830,0.43016077170418,27.8189812063522,0,0
"douglas","nebraska",275706,56003,0.515260188530267,1.912705949219,21,0
"dundy","nebraska",911,44583,0.213935230618253,173.503166630382,0,0
"fillmore","nebraska",2842,52070,0.326433661350526,51.9450292785737,0,0
"franklin","nebraska",1535,46531,0.28479381443299,128.148247544642,0,0
"frontier","nebraska",1296,51192,0.248575498575499,197.403308444103,0,0
"furnas","nebraska",2487,40445,0.238831615120275,176.535117053372,0,0
"gage","nebraska",10971,48731,0.440255905511811,36.9507385657201,0,0
"garden","nebraska",1003,49805,0.248681898066784,156.439442028056,0,0
"garfield","nebraska",986,45227,0.205825242718447,144.893530792149,0,0
"gosper","nebraska",1033,60711,0.248091603053435,167.511137052604,0,0
"grant","nebraska",306,45625,0.111716621253406,200.327268652217,0,0
"greeley","nebraska",1227,48220,0.381984987489575,109.124454030072,0,0
"hall","nebraska",30385,51355,0.369282121197875,90.611708139269,0,0
"hamilton","nebraska",4558,59760,0.277557824546781,71.8199538808536,0,0
"harlan","nebraska",1641,44630,0.227633069082673,151.851212570716,0,0
"hayes","nebraska",455,44602,0.15370705244123,207.062346140403,0,0
"hitchcock","nebraska",1432,41131,0.250906453952139,205.848467232247,0,0
"holt","nebraska",5215,49607,0.218938480096502,122.261216092659,0,0
"hooker","nebraska",353,38616,0.171232876712329,232.244670391215,0,0
"howard","nebraska",3133,52247,0.361481975967957,99.7196926476423,0,0
"jefferson","nebraska",3774,44616,0.411144170949418,51.3003384291158,0,0
"johnson","nebraska",2082,47938,0.433175355450237,35.8649359639475,0,0
"kearney","nebraska",3320,55068,0.278095238095238,124.66154777814,0,0
"keith","nebraska",4013,43100,0.245463709677419,182.349994364669,0,0
"keyapaha","nebraska",349,43333,0.215759849906191,152.979402916887,0,0
"kimball","nebraska",1844,40344,0.24240750966317,87.7956986931374,0,0
"knox","nebraska",4376,47692,0.307296767874633,79.2792733372747,0,0
"lancaster","nebraska",150527,53730,0.515601223625382,1.14603214838977,70,0
"lincoln","nebraska",18189,52179,0.310007986729741,217.36540241486,0,0
"logan","nebraska",413,51346,0.194711538461538,206.008768320035,0,0
"loup","nebraska",284,56750,0.21882951653944,159.049047375221,0,0
"mcpherson","nebraska",206,53750,0.15358361774744,225.378644983492,0,0
"madison","nebraska",17720,48673,0.294909220363119,87.9833072669776,0,0
"merrick","nebraska",3939,50464,0.287379772661032,75.8267505004745,0,0
"morrill","nebraska",2415,43942,0.236920459378988,127.712687808512,0,0
"nance","nebraska",1826,42429,0.321616871704745,76.7349002350664,0,0
"nemaha","nebraska",3610,52736,0.356937248128958,50.6962693309375,0,0
"nuckolls","nebraska",2202,41576,0.295812696983341,88.2481471599433,0,0
"otoe","nebraska",8081,52108,0.411026508742245,32.8864287522328,0,0
"pawnee","nebraska",1356,40139,0.348988439306358,52.6245416003203,0,0
"perkins","nebraska",1443,56797,0.21830985915493,180.74099042673,0,0
"phelps","nebraska",4604,51264,0.234741784037559,146.593102033435,0,0
"pierce","nebraska",3565,53125,0.242715437073776,95.1825215529546,0,0
"platte","nebraska",16215,58473,0.282861400894188,59.5460039044489,0,0
"polk","nebraska",2658,57991,0.262681871804955,53.5279168631977,0,0
"redwillow","nebraska",5351,42457,0.241078509119746,211.307449407066,0,0
"richardson","nebraska",4123,45929,0.381300403225806,71.106804594812,0,0
"rock","nebraska",719,48750,0.173533083645443,151.994191851394,0,0
"saline","nebraska",7125,49332,0.509236335936012,24.9293750015843,0,0
"sarpy","nebraska",86249,72269,0.411778542236335,6.76093214042855,1,0
"saunders","nebraska",10416,64475,0.368879749314532,27.3634991556956,0,0
"scottsbluff","nebraska",18932,46632,0.322131704005431,115.598619481787,0,0
"seward","nebraska",8417,61563,0.359011820958959,24.1326419592256,0,0
"sheridan","nebraska",2673,42802,0.184402924451665,202.435628096803,0,0
"sherman","nebraska",1568,46299,0.372137404580153,124.495672480097,0,0
"sioux","nebraska",638,46667,0.159836065573771,140.912199294153,0,0
"stanton","nebraska",3000,58553,0.266132264529058,78.4531686075177,0,0
"thayer","nebraska",2605,45590,0.323429860849944,67.0968072190838,0,0
"thomas","nebraska",318,54286,0.130769230769231,217.532405996495,0,0
"thurston","nebraska",3532,42979,0.526810912511759,64.711614877656,0,0
"valley","nebraska",2112,44657,0.291374329343789,130.722868096497,0,0
"washington","nebraska",10274,65565,0.359593023255814,16.0707980781455,0,0
"wayne","nebraska",4601,55141,0.327993697478992,82.8813531544516,0,0
"webster","nebraska",1881,40313,0.30379746835443,105.180470277313,0,0
"wheeler","nebraska",394,47452,0.218181818181818,123.045817637056,0,0
"york","nebraska",7043,55156,0.244671132764921,50.0297841089292,0,0
"clark","nevada",1034431,52629,0.584737980134281,0.398751872829407,5402,0
"washoe","nevada",218748,54955,0.552457126387087,4.47317864176126,1176,0
"albany","new york",158927,60904,0.638436548499348,1.25338143048516,1326,0
"allegany","new york",23576,44085,0.381968641114983,19.7262400464973,52,0
"bronx","new york",760345,35302,0.887158196209669,2.07041043696774,19809,0
"broome","new york",100390,47744,0.532067900538786,5.26665953827031,751,0
"cattaraugus","new york",39711,43884,0.439026635571376,49.1024282432905,139,0
"cayuga","new york",38395,53114,0.5333019534008,22.976474157782,166,0
"chautauqua","new york",66655,43211,0.495627169400395,53.3990132665591,243,0
"chemung","new york",44260,49578,0.488125080759788,1.90511070655611,334,0
"chenango","new york",24685,46979,0.484482179690123,35.6878357147913,108,0
"clinton","new york",39612,50502,0.606831962538272,4.90641074340037,203,0
"columbia","new york",30802,59916,0.558965868568518,5.07980346794566,174,0
"cortland","new york",24935,50910,0.541598173515982,21.4750416442281,135,0
"delaware","new york",23124,46055,0.464073765265584,39.9404387759082,95,0
"dutchess","new york",148708,72706,0.537299438958368,16.0828317186916,792,0
"erie","new york",475870,52744,0.579881670192427,4.1186568059964,3866,0
"essex","new york",18440,53244,0.558872572750255,24.2089367698267,76,0
